Code,Libellé
"cond11","En contrat d'apprentissage ou de professionnalisation"
"cond12","Placés par une agence d'intérim"
"cond13","Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)"
"cond14","Stagiaires rémunérés en entreprise"
"cond15","Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc."
"cond16","Emplois sans limite de durée, CDI, titulaire de la fonction publique"
"cond21","Non salariés : Indépendants"
"cond22","Non salariés : Employeurs"
"cond23","Non salariés : Aides familiaux"
